# stla	stlo	net.stat.loc.chan	stel	stdp
           53.376263            53.376263    UK.AGSB..BHZ            44.0        0.0
           65.616302            65.616302    DK.ANGG..BHZ             9.0        0.0
           65.112396            65.112396    Z7.ARNA..HHZ           551.0        0.0
           65.051941            65.051941    Z7.ASK..HHZ           955.0        0.0
           51.046799            51.046799    Y2.BA01..HHZ            62.0        0.0
           51.056702            51.056702    Y2.BA02..HHZ           167.0        0.0
           51.041801            51.041801    Y2.BA03..HHZ           130.0        0.0
           51.036499            51.036499    Y2.BA04..HHZ           108.0        0.0
           64.198151            64.198151    Z7.BHAF..HHZ            60.0        0.0
             58.4935              58.4935    GB.BIGH..BHZ            70.0        0.0
            64.46891             64.46891    Z7.BJK..HHZ          1572.0        0.0
           65.488701            65.488701    YY.BLAF..BHZ           644.0        0.0
           54.560635            54.560635    ZX.BLB01..HHZ            80.0        0.0
           54.560566            54.560566    ZX.BLB02..HHZ            80.0        0.0
           54.560417            54.560417    ZX.BLB04..HHZ            80.0        0.0
           54.560368            54.560368    ZX.BLB05..HHZ            80.0        0.0
            54.56015             54.56015    ZX.BLB07..HHZ            80.0        0.0
           54.560051            54.560051    ZX.BLB08..HHZ            80.0        0.0
           54.560093            54.560093    ZX.BLB09..HHZ            80.0        0.0
           54.559986            54.559986    ZX.BLB10..HHZ            80.0        0.0
           54.559902            54.559902    ZX.BLB11..HHZ            80.0        0.0
            54.55983             54.55983    ZX.BLB12..HHZ            80.0        0.0
           66.122566            66.122566    Z7.BOLU..HHZ            36.0        0.0
             64.7474              64.7474    II.BORG.00.BHZ           110.0       95.0
             65.2183              65.2183    Z7.BOTN..HHZ           487.0        0.0
           64.125801            64.125801    7J.BRE1..BHZ            11.0        0.0
           64.129097            64.129097    7J.BRE2..BHZ            46.0        0.0
           64.081596            64.081596    7J.BRE4..BHZ             2.0        0.0
           63.962101            63.962101    ZO.BRSK..BHZ           727.0        0.0
           64.828857            64.828857    Z7.BRU..HHZ           751.0        0.0
           65.204613            65.204613    4F.BRUN..HHZ           536.0        0.0
           55.113998            55.113998    DK.BSD..BHZ            88.0        0.0
           65.897034            65.897034    YY.BUNG..BHZ           449.0        0.0
           65.602173            65.602173    YY.BURF..BHZ           382.0        0.0
           50.186699            50.186699    GB.CCA1..BHZ           209.0        0.0
           55.082802            55.082802    GB.CLGH..BHZ           239.0        0.0
             70.4743              70.4743    CN.CLRN..BHZ             9.0        0.0
           52.738499            52.738499    GB.CWF..BHZ           203.0        0.0
           76.771301            76.771301    GE.DAG..BHZ            23.0        0.0
           65.077332            65.077332    Z7.DALR..HHZ           801.0        0.0
           74.307098            74.307098    DK.DBG..BHZ             1.0        0.0
           65.077393            65.077393    4F.DDAL..BHZ           801.0        0.0
           64.504051            64.504051    Z7.DJK..HHZ          1683.0        0.0
           65.051941            65.051941    Z7.DNGA..HHZ           955.0        0.0
           65.049438            65.049438    Z7.DREK..HHZ           820.0        0.0
           65.602226            65.602226    YY.DRUM..BHZ           384.0        0.0
           64.921494            64.921494    Z7.DSAN..HHZ           705.0        0.0
            53.24519             53.24519    EI.DSB..BHZ           236.0        0.0
           66.479599            66.479599    DK.DY2G.01.BHZ          2132.0      300.0
           50.435329            50.435329    GB.DYA..BHZ           292.0        0.0
           65.105499            65.105499    Z7.DYFE..HHZ           710.0        0.0
           64.683601            64.683601    Z7.DYJN..HHZ          1381.0        0.0
           64.637962            64.637962    Z7.DYJS..HHZ          1372.0        0.0
           64.790863            64.790863    Z7.DYN..HHZ          1146.0        0.0
           64.934898            64.934898    Z7.DYSA..HHZ           688.0        0.0
           55.923328            55.923328    GB.EDI..BHZ           125.0        0.0
             54.8312              54.8312    GB.EDMD..BHZ           337.0        0.0
           65.033577            65.033577    Z7.EFJA..HHZ           883.0        0.0
             55.3339              55.3339    IM.EKB..BHZ           308.0        0.0
           55.309299            55.309299    IM.EKB1..BHZ           275.0        0.0
             55.3769              55.3769    IM.EKB10..BHZ           328.0        0.0
           55.316799            55.316799    IM.EKB2..BHZ           314.0        0.0
           55.324902            55.324902    IM.EKB3..BHZ           307.0        0.0
           55.331699            55.331699    IM.EKB4..BHZ           301.0        0.0
           55.339298            55.339298    IM.EKB5..BHZ           313.0        0.0
             55.3466              55.3466    IM.EKB6..BHZ           337.0        0.0
           55.354099            55.354099    IM.EKB7..BHZ           435.0        0.0
           55.361801            55.361801    IM.EKB8..BHZ           401.0        0.0
           55.368999            55.368999    IM.EKB9..BHZ           396.0        0.0
           55.337502            55.337502    IM.EKR1..BHZ           355.0        0.0
           55.310398            55.310398    IM.EKR10..BHZ           382.0        0.0
             55.3344              55.3344    IM.EKR2..BHZ           349.0        0.0
           55.330601            55.330601    IM.EKR3..BHZ           320.0        0.0
             55.3284              55.3284    IM.EKR4..BHZ           337.0        0.0
           55.325401            55.325401    IM.EKR5..BHZ           307.0        0.0
           55.322399            55.322399    IM.EKR6..BHZ           395.0        0.0
           55.319401            55.319401    IM.EKR7..BHZ           348.0        0.0
           55.316299            55.316299    IM.EKR8..BHZ           419.0        0.0
           55.313702            55.313702    IM.EKR9..BHZ           432.0        0.0
             71.4543              71.4543    YM.ELOT..HHZ           342.0        0.0
           51.147598            51.147598    GB.ELSH..BHZ           129.0        0.0
             55.3167              55.3167    II.ESK.00.BHZ           242.0        0.0
           63.874779            63.874779    Z7.FAG..HHZ            27.0        0.0
           65.009453            65.009453    4F.FJAL..BHZ           837.0        0.0
           65.024696            65.024696    4F.FJAS..HHZ           798.0        0.0
           64.856613            64.856613    Z7.FLAE..HHZ           769.0        0.0
           65.182793            65.182793    4F.FLAT..BHZ           728.0        0.0
           64.843536            64.843536    4F.FLUR..BHZ           838.0        0.0
           52.887901            52.887901    GB.FOEL..BHZ           449.0        0.0
           65.351898            65.351898    4F.FREF..BHZ           533.0        0.0
             51.3325              51.3325    UK.FULS..BHZ            50.0        0.0
           64.873528            64.873528    Z7.FYDU..HHZ           774.0        0.0
           54.866329            54.866329    GB.GAL1..BHZ           117.0        0.0
           65.037041            65.037041    Z7.GODA..BHZ          1266.0        0.0
           65.913368            65.913368    YY.GUDF..BHZ           321.0        0.0
           65.108124            65.108124    Z7.HALI..HHZ           536.0        0.0
           65.198753            65.198753    4F.HELI..BHZ           491.0        0.0
           64.045403            64.045403    ZO.HESA..BHZ           503.0        0.0
             65.1287              65.1287    Z7.HETO..HHZ           581.0        0.0
              50.764               50.764    NL.HGN.02.BHZ           135.0        4.0
           50.867298            50.867298    GB.HMNX..BHZ            26.0        0.0
           64.835213            64.835213    Z7.HOLA..HHZ           776.0        0.0
           65.047478            65.047478    4F.HOTT..BHZ           718.0        0.0
           53.958172            53.958172    GB.HPK..BHZ           233.0        0.0
           64.896332            64.896332    4F.HRIM..BHZ           849.0        0.0
           65.155769            65.155769    4F.HRUR..BHZ           697.0        0.0
           77.001877            77.001877    PL.HSPB..HHZ            11.0        0.0
           50.994339            50.994339    GB.HTL..BHZ            86.0        0.0
           65.332169            65.332169    Z7.HVAF..HHZ           531.0        0.0
           65.303726            65.303726    Z7.HVAM..HHZ           583.0        0.0
           65.554092            65.554092    YY.HVAN..BHZ           349.0        0.0
           69.092201            69.092201    DK.ICESG..BHZ          2931.6        0.0
           55.073002            55.073002    EI.IDGL..BHZ           123.0        1.0
           62.359459            62.359459    YB.IF01..HHZ            55.0        0.0
           62.225471            62.225471    YB.IF02..HHZ           236.0        0.0
           62.102718            62.102718    YB.IF03..HHZ            63.0        0.0
           62.278549            62.278549    YB.IF04..HHZ            37.0        0.0
           62.292969            62.292969    YB.IF05..HHZ           160.0        0.0
           62.169319            62.169319    YB.IF06..HHZ           301.0        0.0
           62.019051            62.019051    YB.IF07..HHZ           316.0        0.0
            62.09446             62.09446    YB.IF08..HHZ           247.0        0.0
           61.880779            61.880779    YB.IF09..HHZ           230.0        0.0
           61.793419            61.793419    YB.IF10..HHZ            39.0        0.0
           61.553982            61.553982    YB.IF11..HHZ           324.0        0.0
           61.397881            61.397881    YB.IF12..HHZ           152.0        0.0
           53.419498            53.419498    EI.IGLA..BHZ            31.0        1.0
           64.033951            64.033951    Z7.ILLA..HHZ           663.0        0.0
           54.055199            54.055199    EI.ILTH..BHZ           227.0        0.0
           69.212143            69.212143    DK.ILULI..HHZ            53.5        0.0
            56.42733             56.42733    GB.INVG..HHZ           279.0        0.0
           54.260502            54.260502    GB.IOMK..BHZ           188.0        0.0
           65.547997            65.547997    DK.ISOG..BHZ            12.0        0.0
           61.205808            61.205808     G.IVI.00.BHZ            15.0        0.0
           52.374298            52.374298    EI.IWEX..BHZ           180.0        0.0
             69.1203              69.1203    YF.JIG3..BHZ           307.3        0.0
           70.986603            70.986603    NO.JMIC.00.BHZ           161.0        0.0
           65.077469            65.077469    Z7.JONS..HHZ          1174.0        0.0
           49.187801            49.187801    GB.JSA..BHZ            39.0        0.0
           65.787292            65.787292    YY.K006..HHZ           408.0        0.0
           65.797241            65.797241    YY.K008..HHZ           507.0        0.0
           65.773582            65.773582    YY.K009..BHZ           356.0        0.0
           65.741867            65.741867    YY.K010..BHZ           433.0        0.0
            65.73909             65.73909    YY.K025..HHZ           520.0        0.0
           65.750343            65.750343    YY.K030..BHZ           526.0        0.0
           65.739929            65.739929    YY.K040..HHZ           571.0        0.0
           65.737228            65.737228    YY.K050..HHZ           631.0        0.0
           65.728943            65.728943    YY.K055..HHZ           549.0        0.0
           65.728691            65.728691    YY.K060..HHZ           547.0        0.0
           65.729042            65.729042    YY.K070..HHZ           559.0        0.0
            65.72937             65.72937    YY.K071..HHZ           552.0        0.0
            65.72184             65.72184    YY.K080..HHZ           637.0        0.0
           65.711327            65.711327    YY.K085..HHZ           523.0        0.0
           65.715973            65.715973    YY.K090..HHZ           542.0        0.0
            65.71067             65.71067    YY.K100..BHZ           625.0        0.0
           65.720482            65.720482    YY.K110..HHZ           613.0        0.0
           65.711227            65.711227    YY.K115..HHZ           544.0        0.0
           65.706192            65.706192    YY.K120..HHZ           519.0        0.0
              65.709               65.709    YY.K130..HHZ           544.0        0.0
           65.703941            65.703941    YY.K140..HHZ           622.0        0.0
           65.699806            65.699806    YY.K160..HHZ           556.0        0.0
           65.687553            65.687553    YY.K170..BHZ           530.0        0.0
           65.695488            65.695488    YY.K180..HHZ           421.0        0.0
           65.695053            65.695053    YY.K190..HHZ           393.0        0.0
           65.694351            65.694351    YY.K200..HHZ           474.0        0.0
